EmployeeID,FirstName,LastName,Department,Role,HireDate,TerminationDate,Gender,Location,Salary,Bonus,StockOptions,PerformanceRating,Promotion,EngagementScore,ManagerRating,Attrition,TenureInDays
E1023,Claude,Renard,Engineering,Senior Accountant,2016-01-24,,Unknown,Nantes,199042,6642.06,1200,3,No,3,6,0,3571
E1647,Joséphine,Riou,Finance,Senior Accountant,2019-02-08,,Female,Bordeaux,84362,3984.27,200,3,No,9,3,0,2460
E1941,Stéphane,Rocher,Sales,Analyst,2021-06-26,,Unknown,Bordeaux,232090,10044.19,200,4,No,8,3,0,1591
E1695,Alix,Chauvin,Unknown,VP of Sales,2016-09-21,,Female,Bordeaux,193920,5380.39,500,,Yes,3,5,0,3330
E1584,Vincent,Gonzalez,Engineering,Digital Marketing Analyst,2022-08-27,2023-12-10,Female,Paris,178481,7453.43,500,3,No,6,10,1,470
E1565,Clémence,Rivière,Engineering,Customer Success Manager,2017-09-04,,NaN,Lyon,61284,2606.61,1000,5,No,5,1,0,2982
E1964,Gilbert,Dumas,Engineering,Specialist,2017-07-06,,Male,Bordeaux,248696,10122.58,500,5,Yes,10,6,0,3042
E1271,Alexandre,Charpentier,Unknown,Regional Sales Director,2022-10-26,,Non-Binary,Remote,245162,5306.31,200,5,No,5,1,0,1104
E1486,Étienne,Lefèvre,Unknown,People Analyst,2018-09-29,,Male,Paris,186889,7924.92,1200,3,No,5,2,0,2592
E1371,Henriette,Aubry,Engineering,Inside Sales Rep,2022-09-14,,Male,Bordeaux,110956,2934.76,0,2,No,4,3,0,1146
E1197,Hélène,Garnier,Unknown,Associate,2020-06-02,,Unknown,Nantes,247814,11343.98,1200,,,4,3,0,1980
E1989,Susan,Robin,Finance,Senior Accountant,2018-01-11,,Female,Paris,118710,5064.17,0,1,Yes,9,4,0,2853
E1531,Roger,Dumont,Engineering,Coordinator,2024-05-27,,Female,Lyon,138445,3765.72,500,,,5,5,0,525
E1479,Océane,Gomes,Marketing,Inside Sales Rep,2017-03-30,,Non-Binary,Lyon,144466,3695.25,500,,No,4,9,0,3140
E1280,Audrey,Monnier,Engineering,Regional Sales Director,2017-06-11,,Unknown,Paris,115292,5092.56,500,1,No,1,10,0,3067
E1380,Zacharie,Joly,Human Resources,Controller,2023-07-28,2025-01-03,Non-Binary,Lyon,162903,8038.55,200,,Yes,7,9,1,525
E1613,Daniel,Navarro,Human Resources,DevOps Engineer,2016-02-22,,Male,Nantes,97348,4555.92,1000,,Yes,1,6,0,3542
E1078,Agnès,Legendre,Unknown,Account Executive,2020-06-11,2021-06-15,Male,Nantes,213618,10066.71,1200,1,No,10,5,1,369
E1190,Amélie,Deschamps,Human Resources,VP of Sales,2017-01-23,,Female,Montpellier,222633,7075.04,0,4,No,10,5,0,3206
E1610,Geneviève,Roux,Sales,Payroll Specialist,2022-06-04,,NaN,Paris,234626,9261.81,200,,,9,10,0,1248
E1257,Thérèse,Lenoir,Finance,HR Business Partner,2015-11-04,,Unknown,Montpellier,126545,6108.97,200,3,No,4,1,0,3652
E1948,Bernadette,Legrand,Engineering,Associate,2019-01-12,,NaN,Remote,202304,9535.85,500,,,7,10,0,2487
E1933,Isaac,Dupont,Human Resources,Senior Software Engineer,2020-04-12,,Unknown,Paris,244560,5260.35,1000,2,Yes,4,7,0,2031
E1332,Adélaïde,Riou,Engineering,Marketing Manager,2020-08-11,,NaN,Lyon,120655,5870.99,500,5,Yes,8,5,0,1910
E1523,Luc,Aubert,Human Resources,Analyst,2022-04-07,,NaN,Remote,143615,2890.74,0,5,No,1,9,0,1306
E1090,Chantal,Sanchez,Sales,Account Executive,2017-05-10,,Non-Binary,Remote,177933,6957.63,500,2,No,8,9,0,3099
E1500,Patricia,Vallée,Marketing,HR Data Scientist,2024-02-03,,NaN,Lyon,188997,5648.65,200,,,2,9,0,639
E1073,Christelle,Legros,Sales,Account Executive,2017-11-30,,Unknown,Remote,51591,1538.8,500,,,8,10,0,2895
E1180,Gabriel,Jacques,Sales,People Analyst,2024-08-14,,Unknown,Montpellier,46629,1448.16,1200,3,No,6,4,0,446
E1062,Victor,Chrétien,Sales,FP&A Manager,2020-09-30,,Male,Montpellier,173701,3873.3,500,5,No,10,5,0,1860
E1541,Zoé,Collin,Finance,Coordinator,2018-05-25,,Non-Binary,Bordeaux,204490,6778.3,1200,,Yes,2,5,0,2719
E1853,Marcel,Julien,Human Resources,Controller,2017-03-01,2021-05-01,Unknown,Remote,154174,6362.23,200,,No,6,8,1,1522
E1400,Gabriel,Bonnin,Sales,FP&A Manager,2020-09-24,2023-04-09,Non-Binary,Bordeaux,211617,6494.59,1200,,,8,5,1,927
E1372,Margaux,Blanc,Engineering,Financial Analyst,2019-10-30,,Non-Binary,Remote,141785,3310.22,500,3,No,8,4,0,2196
E1922,Laurent,Roche,Sales,Payroll Specialist,2020-12-27,,NaN,Lyon,140277,4341.24,200,5,No,9,6,0,1772
E1317,Christophe,Toussaint,Human Resources,Associate,2022-12-07,2024-11-24,NaN,Lyon,115851,2433.22,1200,,,1,3,1,718
E1934,Adrienne,Collin,Engineering,HR Data Scientist,2016-06-30,2018-12-31,Non-Binary,Remote,248052,8419.04,500,3,No,6,4,1,914
E1786,Camille,Salmon,Human Resources,Product Marketing Manager,2024-10-09,,Non-Binary,Montpellier,159840,6379.21,1000,,,1,3,0,390
E1646,Alexandrie,Dumas,Sales,Sales Manager,2024-04-01,,Unknown,Lyon,238180,11490.77,200,1,No,5,7,0,581
E1097,Nathalie,Da Costa,Finance,QA Engineer,2023-02-28,2024-12-07,Unknown,Nantes,137957,4868.44,1000,1,No,8,4,1,648
E1658,Alfred,Jacquot,Engineering,Data Scientist,2023-12-29,,NaN,Nantes,233770,10030.47,500,,,6,9,0,675
E1461,Pierre,Dufour,Finance,Associate,2018-08-04,,Non-Binary,Lyon,97691,2560.27,1000,,,5,8,0,2648
E1534,Laure,Bouvet,Engineering,Internal Auditor,2018-01-07,,Female,Remote,223988,8992.03,500,3,No,5,1,0,2857
E1980,Maryse,Guillet,Marketing,HR Business Partner,2016-10-24,2019-09-10,Male,Bordeaux,107411,2502.44,500,,Yes,9,9,1,1051
E1117,Éléonore,Ruiz,Human Resources,QA Engineer,2022-10-16,,Unknown,Nantes,199859,9148.8,1200,3,No,5,8,0,1114
E1410,Bertrand,Simon,Finance,People Analyst,2023-06-19,2024-08-23,Female,Remote,138165,4479.56,1000,2,No,2,10,1,431
E1406,Claude,Moreno,Engineering,Sales Manager,2019-09-29,,Non-Binary,Nantes,65335,2572.39,500,2,Yes,5,9,0,2227
E1133,Inès,Costa,Human Resources,FP&A Manager,2019-04-25,2021-08-16,Female,Remote,123076,5413.59,0,3,No,10,2,1,844
E1822,Gérard,Regnier,Finance,Analyst,2022-12-01,2024-02-23,Male,Montpellier,171074,5095.16,500,3,No,2,6,1,449
E1206,Céline,Dias,Human Resources,Product Marketing Manager,2016-05-25,2020-08-21,Unknown,Nantes,237949,6746.44,1000,2,No,7,1,1,1549
E1418,Noël,Picard,Sales,Solutions Engineer,2022-02-10,,NaN,Paris,236170,6587.57,1200,,Yes,6,6,0,1362
E1651,Sabine,Jacques,Marketing,Content Strategist,2019-07-08,,Non-Binary,Lyon,135723,6710.38,200,,,8,1,0,2310
E1752,Roger,Gautier,Engineering,HR Data Scientist,2020-12-21,,Unknown,Bordeaux,45436,1923.16,0,3,No,3,2,0,1778
E1475,Théophile,Guillaume,Unknown,Associate,2023-05-13,,Unknown,Paris,242380,9704.04,0,,,2,1,0,905
